	TF	Target	Sources	PMIDs	N	Factor / Gene Name
367	NCOA3	MMP10	TRRUST	18162290	1	NCOA3 / MMP10
368	SP1	TFPI2	TRRUST	12446683	1	SP1 / TFPI2
369	IRF8	GAS2	TRRUST	20679491	1	IRF8 / GAS2
370	FOXO3	STK11	ORegAnno	22412893	1	FOXO3 / STK11
371	NR2F1	OXT	PAZAR	12047722	1	NR2F1 / OXT
372	CHD8	HOXA2	TRRUST	20085832	1	CHD8 / HOXA2
373	SP1	FAS	TRRUST	22084312|10022897|10871852|9261184|9300785	5	SP1 / FAS
374	GFI1	CDKN1A	TRRUST	16287849	1	GFI1 / CDKN1A
375	KLF11	INS	HTRI|TRRUST	15774581|18593768|15774581|18199129|21592955	4	KLF11 / INS
376	ZNF382	MITF	TRRUST	20682794	1	ZNF382 / MITF
377	SF1	HSD3B2	TRRUST	23874725	1	SF1 / HSD3B2
378	TBX2	CDKN1A	TRRUST	20624445	1	TBX2 / CDKN1A
379	TAL1	LARP4B	HTRI	20028976	1	TAL1 / LARP4B
380	ZNF395	HTT	Fastforward	14625278	1	ZNF395 / HTT
381	FOXL2	CCND2	TRRUST	21862621	1	FOXL2 / CCND2
382	NELFCD	CTNNB1	TRRUST	20735431	1	NELFCD / CTNNB1
383	LEF1	CLDN2	TFacTs|TRRUST	14751232|14751232	1	LEF1 / CLDN2
384	SP1	RGN	TRRUST	21526343	1	SP1 / RGN
385	E2F6	E2F1	TFacTs|TRRUST	|18562691|18562691	2	E2F6 / E2F1
386	JUND	CCND1	TRRUST	20220142	1	JUND / CCND1
387	STAT6	PTGS2	HTRI|TRRUST	17237818|17237818	1	STAT6 / PTGS2
388	RUNX2	SP7	TRRUST	18331818	1	RUNX2 / SP7
389	TP53	FOXO3	TRRUST	19299143	1	TP53 / FOXO3
390	SMAD3	VDR	TRRUST	17471513	1	SMAD3 / VDR
391	ELF3	TIMP3	TRRUST	12407165	1	ELF3 / TIMP3
392	TCF7	CEACAM6	TFacTs	15890249	1	TCF7 / CEACAM6
393	TP53	MGMT	TRRUST	17564708|19846904|20525765	3	TP53 / MGMT
394	STAT1	CSF1	HTRI|ORegAnno|PAZAR	15624698|22951020|15624698	2	STAT1 / CSF1
395	FOXO3	KLF6	HTRI	18226221	1	FOXO3 / KLF6
396	JUND	NQO1	TRRUST	11035254	1	JUND / NQO1
397	SREBF1	NR0B2	Fastforward|TFacTs|TRRUST	15123650||15123650|15123650	2	SREBF1 / NR0B2
398	TP53	DUSP1	HTRI|TRRUST	15611668|12890671|15611668	2	TP53 / DUSP1
399	NR3C1	HSD11B2	TRRUST	17551100	1	NR3C1 / HSD11B2
400	HNF1B	FOLR1	HTRI	12566316	1	HNF1B / FOLR1
401	NR0B1	AMH	TRRUST	11990799	1	NR0B1 / AMH
402	FOXO4	TNFSF10	TRRUST	23630076	1	FOXO4 / TNFSF10
403	AR	NOV	TRRUST	23318417	1	AR / NOV
404	PPARG	GK	TRRUST	14749268	1	PPARG / GK
405	SP1	CYP7A1	TRRUST	9875228	1	SP1 / CYP7A1
406	CTCF	IL19	ORegAnno	22951020	1	CTCF / IL19
407	NR1I2	FOXP1	HTRI	19129222	1	NR1I2 / FOXP1
408	ETS1	MMP3	HTRI|TRRUST	12034715|10358095|10949659|11556732|12034715	4	ETS1 / MMP3
409	RPA2	BRCA1	Fastforward	12748281	1	RPA2 / BRCA1
410	GATA3	PDE3A	HTRI	19559773	1	GATA3 / PDE3A
411	HBP1	SPI1	TFacTs	|16179914	2	HBP1 / SPI1
412	HES1	REST	Fastforward	16253247	1	HES1 / REST
413	FLI1	EGR1	Fastforward	10806199	1	FLI1 / EGR1
414	JUN	STAR	TRRUST	19150388	1	JUN / STAR
415	FHL2	NFKB1	TRRUST	18752053	1	FHL2 / NFKB1
416	KLF9	PGR	TRRUST	20463357	1	KLF9 / PGR
417	HIF1A	VEGFB	TRRUST	21731766	1	HIF1A / VEGFB
418	STAT3	SOCS1	TRRUST	14630083|20003295|20357037	3	STAT3 / SOCS1
419	RELA	COL1A2	HTRI|TRRUST	10201951|10201951	1	RELA / COL1A2
420	SLA2	CD69	TRRUST	11696592	1	SLA2 / CD69
421	HDAC2	TNFSF10	TRRUST	23630076	1	HDAC2 / TNFSF10
422	HSF1	MAP3K14	TRRUST	19381566	1	HSF1 / MAP3K14
423	TAF1	AR	TRRUST	20181722	1	TAF1 / AR
424	EP300	HINFP	TRRUST	17826007	1	EP300 / HINFP
425	SPI1	GATA1	TRRUST	20304827|11001896	2	SPI1 / GATA1
426	RARA	G0S2	HTRI	21310893	1	RARA / G0S2
427	E2F1	CCL3	TRRUST	17707233	1	E2F1 / CCL3
428	SP1	NPY	TRRUST	2376581	1	SP1 / NPY
429	CTCF	BICD2	ORegAnno	22951020	1	CTCF / BICD2
430	RUNX1	SPI1	TRRUST	12576332|18316480	2	RUNX1 / SPI1
431	PGR	ZKSCAN7	HTRI	20034404	1	PGR / ZKSCAN7
432	ZHX2	CCNA2	TRRUST	22406477	1	ZHX2 / CCNA2
433	GLI2	CAMK1	TFacTs	|14691458	2	GLI2 / CAMK1
434	PAX5	MYCN	TRRUST	9545244	1	PAX5 / MYCN
435	AR	TGFA	TRRUST	11556855	1	AR / TGFA
436	HSF1	BAG3	HTRI|TRRUST	19006120|19006120|20692357	2	HSF1 / BAG3
437	HMGA1	PTGS2	TRRUST	22898640	1	HMGA1 / PTGS2
438	JUN	BRCA1	Fastforward|TRRUST	17434164|17434164	1	JUN / BRCA1
439	EP300	EPO	TRRUST	20368990	1	EP300 / EPO
440	E2F4	GMNN	TFacTs	|14990995	2	E2F4 / GMNN
441	RXRA	SOX3	Fastforward	17005281	1	RXRA / SOX3
442	APBB1	GMPS	TRRUST	21453247	1	APBB1 / GMPS
443	TFAP2A	CFTR	TRRUST	10652362	1	TFAP2A / CFTR
444	E2F4	DUOX2	HTRI	11799066	1	E2F4 / DUOX2
445	HDAC1	ESR1	TRRUST	18316616|20101232|23242655|21655924	4	HDAC1 / ESR1
446	ZNF384	CDKN2A	HTRI	19340300	1	ZNF384 / CDKN2A
447	EZH2	CCND1	TRRUST	20132185|21697275	2	EZH2 / CCND1
448	YY1	FCGR2B	TRRUST	15153544	1	YY1 / FCGR2B
449	E2F1	NKX6-1	HTRI	12629508	1	E2F1 / NKX6-1
450	ESR2	CDKN1A	TRRUST	11517191	1	ESR2 / CDKN1A
451	SMAD7	TGFBR1	TRRUST	15221015	1	SMAD7 / TGFBR1
452	FOXO1	CXCR4	TRRUST	20068066	1	FOXO1 / CXCR4
453	ELK1	EIF2AK1	TRRUST	19133234	1	ELK1 / EIF2AK1
454	NFKB1	CARD8	TRRUST	17878386	1	NFKB1 / CARD8
455	SPI1	DAPK2	TRRUST	24038216	1	SPI1 / DAPK2
456	PPARG	DBI	TRRUST	12015306	1	PPARG / DBI
457	GATA4	SGPL1	TRRUST	21184844	1	GATA4 / SGPL1
458	JUN	IBSP	TRRUST	23485603|9084640	2	JUN / IBSP
459	RELA	F3	HTRI|TFacTs|TRRUST	18226221|12746898|11057875|11057875|11157486|19167713|9867853	6	RELA / F3
460	E2F6	ZNF83	HTRI	12909625	1	E2F6 / ZNF83
461	AR	PMEPA1	HTRI|TRRUST	16213525|17075604|18703514	3	AR / PMEPA1
462	MXD1	TERT	TRRUST	21411498|19912441	2	MXD1 / TERT
463	TCF7	MSLN	TFacTs	15890249	1	TCF7 / MSLN
464	DLX5	IGFBP3	TRRUST	17278996	1	DLX5 / IGFBP3
465	NFKB1	GSTP1	TRRUST	15013838	1	NFKB1 / GSTP1
466	PPARD	SAT1	HTRI|TRRUST	14506281|14506281	1	PPARD / SAT1
467	MYC	APC	HTRI	12695333	1	MYC / APC
468	DDIT3	CXCL8	HTRI|TRRUST	18772138|18772138	1	DDIT3 / CXCL8
469	PIAS2	LRRN3	TRRUST	21908575	1	PIAS2 / LRRN3
470	TBX21	IL4	TRRUST	17541280|18504404|19348920|22521571	4	TBX21 / IL4
471	RUNX3	HSPD1	TRRUST	17956589	1	RUNX3 / HSPD1
472	TP63	GADD45A	PAZAR	18260640	1	TP63 / GADD45A
473	WT1	ABCB1	TRRUST	10392899|10860921	2	WT1 / ABCB1
474	JUN	BECN1	TRRUST	19060920	1	JUN / BECN1
475	SP1	ABCB1	HTRI|TRRUST	10644769|10644769|7565762|10860921|8103518	4	SP1 / ABCB1
476	MEF2D	CD14	TRRUST	12213324	1	MEF2D / CD14
477	SP1	FXR2	TRRUST	16886907	1	SP1 / FXR2
478	NFKB1	HDAC7	TRRUST	21243522	1	NFKB1 / HDAC7
479	HIF1A	MXI1	Fastforward	17482131	1	HIF1A / MXI1
480	CTNNB1	ITGB1	TFacTs	15979100	1	CTNNB1 / ITGB1
481	CEBPZ	THBS1	HTRI	18275041	1	CEBPZ / THBS1
482	PPARG	HMOX1	TRRUST	17413033	1	PPARG / HMOX1
483	DNMT1	TNFRSF10B	TRRUST	20398055	1	DNMT1 / TNFRSF10B
484	TP53	PSRC1	HTRI	18291097	1	TP53 / PSRC1
485	USF1	PTGDS	HTRI|TRRUST	17574780|18817855|17574780|18817855	2	USF1 / PTGDS
486	SP3	SLC6A3	PAZAR	15816870	1	SP3 / SLC6A3
487	GATA3	GATA3	HTRI|TRRUST	19559773|20484083	2	GATA3 / GATA3
488	GATA4	CYP17A1	TRRUST	14988427	1	GATA4 / CYP17A1
489	E2F1	ATG5	TRRUST	18408756	1	E2F1 / ATG5
490	NR1I2	BPHL	HTRI	19129222	1	NR1I2 / BPHL
491	PAX5	MET	TRRUST	24628993|19139719	2	PAX5 / MET
492	MYC	AHSG	HTRI	12695333	1	MYC / AHSG
493	ZNF300	MYC	TRRUST	21777376	1	ZNF300 / MYC
494	SOX9	MIA	TRRUST	12783851	1	SOX9 / MIA
495	USF1	ASCL2	TRRUST	12917334	1	USF1 / ASCL2
496	JUN	IL2	HTRI|TRRUST	8468462|7642615|8468462	2	JUN / IL2
497	ZNF184	CDKN2A	HTRI	19340300	1	ZNF184 / CDKN2A
498	RELA	VEGFD	TRRUST	18941249	1	RELA / VEGFD
499	PER1	BCL2	TRRUST	19675098	1	PER1 / BCL2
500	NFKBIA	MMP9	TRRUST	11376631	1	NFKBIA / MMP9
501	ING4	ARL6IP5	TRRUST	24157826	1	ING4 / ARL6IP5
502	RFX2	FGF1	TRRUST	22415835	1	RFX2 / FGF1
503	NR3C1	BGLAP	HTRI|TRRUST	9303434|9303434	1	NR3C1 / BGLAP
504	PAX5	LEF1	TRRUST	9545244	1	PAX5 / LEF1
505	NFKB1	PTAFR	TRRUST	11502209	1	NFKB1 / PTAFR
506	FOXA1	BCL2	HTRI|TRRUST	19127412|19127412	1	FOXA1 / BCL2
507	PPARD	ANG	TRRUST	17511960	1	PPARD / ANG
508	PPARA	SREBF2	TRRUST	16946405	1	PPARA / SREBF2
509	MECOM	ZBTB16	Fastforward	12200691	1	MECOM / ZBTB16
510	RELA	FOSB	HTRI	20018891	1	RELA / FOSB
511	SP1	IFNGR1	TRRUST	11477089	1	SP1 / IFNGR1
512	AR	TCF7L2	TRRUST	12799378	1	AR / TCF7L2
513	ZBTB5	CDKN1A	TRRUST	19491398	1	ZBTB5 / CDKN1A
514	SIRT2	NEDD4	TRRUST	23175188	1	SIRT2 / NEDD4
515	GLI1	BCL2	TRRUST	19074837|21135115|14555646|15520176|24739390	5	GLI1 / BCL2
516	STAT3	CTNNB1	HTRI	20830236	1	STAT3 / CTNNB1
517	POU2F1	VIP	PAZAR	9642274	1	POU2F1 / VIP
518	ETV4	EGLN1	TRRUST	22075993	1	ETV4 / EGLN1
519	MYC	MAGEA3	HTRI	12695333	1	MYC / MAGEA3
520	ERG	EPB41L3	TRRUST	20860828	1	ERG / EPB41L3
521	TCF7L2	CTNNB1	TRRUST	24317174	1	TCF7L2 / CTNNB1
522	CTCF	PRSS35	ORegAnno	22951020	1	CTCF / PRSS35
523	FOXM1	VEGFB	TRRUST	21860419	1	FOXM1 / VEGFB
524	E2F7	SP1	HTRI|TFacTs	21248772||21248772	2	E2F7 / SP1
525	SREBF1	SREBF1	TFacTs	|16831124	2	SREBF1 / SREBF1
526	TWIST2	DKK1	TRRUST	18453541	1	TWIST2 / DKK1
527	JUNB	IL3	TRRUST	8704203	1	JUNB / IL3
528	NFKB1	MUC2	TRRUST	12686724|18176092	2	NFKB1 / MUC2
529	SOX2	POU4F2	TRRUST	20739473	1	SOX2 / POU4F2
530	BCL6	XBP1	TRRUST	24821775	1	BCL6 / XBP1
531	ATF3	IFNG	TRRUST	20304822	1	ATF3 / IFNG
532	ZBTB16	ID2	TRRUST	19723763	1	ZBTB16 / ID2
533	SREBF1	PTGS2	TFacTs	|15716578	2	SREBF1 / PTGS2
534	HDAC9	MEF2A	TRRUST	12242305|15194749	2	HDAC9 / MEF2A
535	STAT6	OPRM1	TRRUST	20828825	1	STAT6 / OPRM1
536	NFYB	LPIN1	TRRUST	19553673	1	NFYB / LPIN1
537	SMAD3	GLI2	TFacTs|TRRUST	|19797115|19797115	2	SMAD3 / GLI2
538	BRCA1	SIRT1	TRRUST	18851829|20160719|21407215|9000507	4	BRCA1 / SIRT1
539	GATA3	PPARG	HTRI	15896659	1	GATA3 / PPARG
540	ATM	BAX	TRRUST	16214353	1	ATM / BAX
541	APEX1	RELA	TRRUST	17045925	1	APEX1 / RELA
542	MTA1	TFF1	TRRUST	12431981	1	MTA1 / TFF1
543	XBP1	SOD2	TRRUST	17192397	1	XBP1 / SOD2
544	DDIT3	SLC38A2	HTRI	18940792	1	DDIT3 / SLC38A2
545	RELA	CDKN1A	TRRUST	18269916|18954936	2	RELA / CDKN1A
546	FOS	CA9	HTRI	11672442	1	FOS / CA9
547	SRF	SERPINE1	TRRUST	15514113	1	SRF / SERPINE1
548	NFIC	GFAP	TRRUST	19540848	1	NFIC / GFAP
549	NCOR1	IGF1	TRRUST	18193094	1	NCOR1 / IGF1
550	ESR1	HSPB1	TRRUST	10960840	1	ESR1 / HSPB1
551	SMAD2	SERPINE1	TFacTs	19132220	1	SMAD2 / SERPINE1
552	TAL1	PLEKHO1	HTRI	20028976	1	TAL1 / PLEKHO1
553	ZEB1	LAMC2	HTRI|TRRUST	20729552|20729552	1	ZEB1 / LAMC2
554	NFKB1	CSNK2A1	TRRUST	19027835	1	NFKB1 / CSNK2A1
555	DNMT1	CDKN2A	TRRUST	17934516|17490527	2	DNMT1 / CDKN2A
556	GATA4	IAPP	TRRUST	17290010	1	GATA4 / IAPP
557	USF2	B2M	TRRUST	12480693	1	USF2 / B2M
558	PPARD	LPL	TRRUST	10634806	1	PPARD / LPL
559	FOXD3	RND3	TRRUST	21478267	1	FOXD3 / RND3
560	TP53	S100B	PAZAR|TRRUST	15178678|15178678	1	TP53 / S100B
561	RELA	PINK1	ORegAnno	25108683	1	RELA / PINK1
562	RELA	IFNA1	TRRUST	8035474|15331713	2	RELA / IFNA1
563	YY1	TTC17	ORegAnno	22951020	1	YY1 / TTC17
564	NR5A1	CYP19A1	HTRI|TRRUST	7768959|12213901|21087664|22427816	4	NR5A1 / CYP19A1
565	XRCC6	CD40	TRRUST	17031478	1	XRCC6 / CD40
566	HDAC2	DEC1	TRRUST	21317427	1	HDAC2 / DEC1
567	TP53	ARL17A	HTRI	16980608	1	TP53 / ARL17A
568	HSF2	HSPA4	HTRI|TRRUST	1508207|12813038|8114740|1508207	3	HSF2 / HSPA4
569	MYC	IL11RA	HTRI	12695333	1	MYC / IL11RA
570	MYC	VHL	HTRI	12695333	1	MYC / VHL
571	HIF1A	CDH1	TRRUST	22295844	1	HIF1A / CDH1
572	CREB1	BDKRB1	TRRUST	10842322	1	CREB1 / BDKRB1
573	MYCN	APEX1	HTRI	16093321	1	MYCN / APEX1
574	E2F4	CDC25C	HTRI	11799066	1	E2F4 / CDC25C
575	SMAD2	GLI1	TRRUST	24739390	1	SMAD2 / GLI1
576	SEC14L2	PSMB9	TRRUST	7699330	1	SEC14L2 / PSMB9
577	SP1	PTHLH	HTRI|TRRUST	8063775|8063775	1	SP1 / PTHLH
578	AR	PYCR1	ORTI	17553165	1	AR / PYCR1
579	EHF	EHF	Fastforward	11259407	1	EHF / EHF
580	SP1	SLC9A2	HTRI|TRRUST	17561809|11254504|17561809	2	SP1 / SLC9A2
581	WDR5	MYC	TRRUST	24782528	1	WDR5 / MYC
582	RXRA	NOL7	HTRI|TRRUST	20206243|20206243	1	RXRA / NOL7
583	PRDM1	CIITA	Fastforward|TRRUST	12150891|12052884|11101876|16765445|16982896|17300840	6	PRDM1 / CIITA
584	NFKB1	BCL2A1	HTRI|TRRUST	15592513|11880364|12665576|19343319|10733571|17000776	6	NFKB1 / BCL2A1
585	GATA2	APEX1	ORegAnno	22951020	1	GATA2 / APEX1
586	ATF6	NR0B2	TRRUST	18450959	1	ATF6 / NR0B2
587	NFYB	XBP1	Fastforward	10958673	1	NFYB / XBP1
588	SP1	RB1	ORegAnno	15618023	1	SP1 / RB1
589	RELA	MMP13	TRRUST	12734180|19022820	2	RELA / MMP13
590	YBX1	TYMS	TRRUST	17072343	1	YBX1 / TYMS
591	PBX1	SOX3	PAZAR|TRRUST	19799567|19799567	1	PBX1 / SOX3
592	PARP1	HTR1A	TRRUST	21990073	1	PARP1 / HTR1A
593	RELA	PIGR	HTRI|TRRUST	10803841|10803841	1	RELA / PIGR
594	EGR2	PTGS2	TRRUST	24007274	1	EGR2 / PTGS2
595	VDR	CYP3A5	TRRUST	22939842	1	VDR / CYP3A5
596	HNF1A	INS	ORegAnno|TFacTs	15933209||10491332|1142872	4	HNF1A / INS
597	TRERF1	CD80	TRRUST	18652845	1	TRERF1 / CD80
598	GABPA	ERBB2	TRRUST	7914192	1	GABPA / ERBB2
599	TP63	MXD3	HTRI|PAZAR	17521434|17521434	1	TP63 / MXD3
600	TAL1	CHST11	HTRI	20028976	1	TAL1 / CHST11
601	RAB40B	CEBPE	PAZAR	10330422	1	RAB40B / CEBPE
602	SP1	CDKN1A	HTRI|TRRUST	7499379|10649433|17026958|12434298|15033443|14527674|10878024|12434298|12665570|14527674|15033443|15041706|15961274|17026958|12773551|18210215|10506225|10649433|14529564|17885207|18270969|21325288|21858218	18	SP1 / CDKN1A
603	RELA	MGMT	TRRUST	22675172	1	RELA / MGMT
604	ETS1	FOXD1	Fastforward|TRRUST	8702877|9867825	2	ETS1 / FOXD1
605	EPAS1	EPO	PAZAR	9000051	1	EPAS1 / EPO
606	E2F1	CYP27B1	HTRI	12629508	1	E2F1 / CYP27B1
607	SIRT1	CDKN1A	TRRUST	15130752|21719763|23474493	3	SIRT1 / CDKN1A
608	DBP	ALDOB	TRRUST	8383844	1	DBP / ALDOB
609	NR2F6	APOB	TRRUST	1639815	1	NR2F6 / APOB
610	TCF7L2	APCDD1	TFacTs	pmid: 12384519	1	TCF7L2 / APCDD1
611	SP1	MYB	HTRI|Fastforward	7559553|10567569	2	SP1 / MYB
612	TCF19	CCNE1	TRRUST	15051733	1	TCF19 / CCNE1
613	KLF8	CDH2	TRRUST	20728449	1	KLF8 / CDH2
614	NR2F1	SERPINC1	TRRUST	8910619	1	NR2F1 / SERPINC1
615	VDR	CALB1	TRRUST	1317496	1	VDR / CALB1
616	STAT3	PAX3	TRRUST	19074888	1	STAT3 / PAX3
617	CLOCK	DEC1	TRRUST	14672706	1	CLOCK / DEC1
618	MYC	TSPO	TFacTs	|11983916	2	MYC / TSPO
619	GATA3	LRMDA	HTRI	19559773	1	GATA3 / LRMDA
620	CTCF	SIX5	TRRUST	11479593	1	CTCF / SIX5
621	MYC	NIT1	HTRI	12695333	1	MYC / NIT1
622	IRF1	IL12B	TRRUST	10657616	1	IRF1 / IL12B
623	ARNT	BHLHE41	Fastforward	12354771	1	ARNT / BHLHE41
624	NR1I2	ARID3C	HTRI	19129222	1	NR1I2 / ARID3C
625	VDR	NCOR1	TRRUST	23098689	1	VDR / NCOR1
626	GATA1	FLI1	TRRUST	10523830	1	GATA1 / FLI1
627	RUNX3	ICAM3	TRRUST	22479382	1	RUNX3 / ICAM3
628	SMAD3	CTGF	PAZAR	11152469	1	SMAD3 / CTGF
629	PPARA	TUBA1B	ORegAnno|TRRUST	23029400|23029400	1	PPARA / TUBA1B
630	HIF1A	CXCR4	TRRUST	17075581|19212630	2	HIF1A / CXCR4
631	ETS1	SPRY2	TRRUST	14644509	1	ETS1 / SPRY2
632	E2F1	SAFB	HTRI	12629508	1	E2F1 / SAFB
633	FOXM1	VEGFA	TRRUST	21860419	1	FOXM1 / VEGFA
634	TCF3	NEUROD1	Fastforward	16855267	1	TCF3 / NEUROD1
635	YY1	TP53	Fastforward|TRRUST	8816507|10634504|8816507|10787423|10505791	4	YY1 / TP53
636	EP300	CCND1	TRRUST	20101207	1	EP300 / CCND1
637	NR3C1	CDK4	TRRUST	9154817	1	NR3C1 / CDK4
638	FOS	NR3C1	Fastforward	8702520	1	FOS / NR3C1
639	ESR1	CRHBP	TRRUST	15345745	1	ESR1 / CRHBP
640	CTCF	NANOG	TRRUST	22879976	1	CTCF / NANOG
641	RELA	GATA3	TRRUST	20660789	1	RELA / GATA3
642	RELA	SLC9A2	TRRUST	11254504	1	RELA / SLC9A2
643	CREBBP	LDLR	TFacTs	|9651391	2	CREBBP / LDLR
644	SP1	SNAPC1	TRRUST	9644240	1	SP1 / SNAPC1
645	MYC	SFXN3	HTRI	12747840	1	MYC / SFXN3
646	PHOX2B	DBH	TRRUST	11034547|16280598|15888479	3	PHOX2B / DBH
647	E2F1	MCM8	TRRUST	16325355	1	E2F1 / MCM8
648	TFAP2A	SOD2	TRRUST	23500038	1	TFAP2A / SOD2
649	RELA	PPARA	TRRUST	10542237	1	RELA / PPARA
650	ETS2	MMP3	TRRUST	10358095	1	ETS2 / MMP3
651	BRCA1	IGF1R	TRRUST	11001824|19223505	2	BRCA1 / IGF1R
652	MYCN	HLA-E	TRRUST	8895520	1	MYCN / HLA-E
653	FOXM1	SFTPB	TRRUST	12161428	1	FOXM1 / SFTPB
654	GLI2	ATP9A	TFacTs	|14691458	2	GLI2 / ATP9A
655	KLF10	SERPINE1	TRRUST	12173049	1	KLF10 / SERPINE1
656	JUN	IL12B	TRRUST	14688340	1	JUN / IL12B
657	TP63	RGS20	HTRI	17521434	1	TP63 / RGS20
658	YY1	SLIRP	ORegAnno	22951020	1	YY1 / SLIRP
659	HES1	NEUROG3	Fastforward	11334435	1	HES1 / NEUROG3
660	PGR	IRS2	TRRUST	14534541	1	PGR / IRS2
661	EGR1	UBE2S	TRRUST	18780286	1	EGR1 / UBE2S
662	MYBL2	PSG1	TRRUST	14613485	1	MYBL2 / PSG1
663	EZH2	MST1	TRRUST	24499724	1	EZH2 / MST1
664	STAT3	PPARA	TRRUST	24242046	1	STAT3 / PPARA
665	NKX2-1	RET	TRRUST	19853745	1	NKX2-1 / RET
666	NFYB	FOS	TRRUST	23595228	1	NFYB / FOS
667	RUNX2	GADD45B	TFacTs	|16144844	2	RUNX2 / GADD45B
668	MYCN	HMGA1	TRRUST	16166307	1	MYCN / HMGA1
669	TP53	SMAD3	TRRUST	21900401	1	TP53 / SMAD3
670	NFYA	HBB	TRRUST	15833715	1	NFYA / HBB
671	NR1I2	GADD45B	HTRI	19129222	1	NR1I2 / GADD45B
672	CREB1	IL2	TRRUST	8814256	1	CREB1 / IL2
673	NFYB	ATP1A3	PAZAR	15462673	1	NFYB / ATP1A3
674	FOXO3	ID1	PAZAR	17132628	1	FOXO3 / ID1
675	SP4	ATP1A3	PAZAR	15462673	1	SP4 / ATP1A3
676	RELA	ADORA3	TRRUST	17216675	1	RELA / ADORA3
677	ESR1	JAK2	TRRUST	19876927	1	ESR1 / JAK2
678	EGR1	MYB	HTRI|TRRUST	7559553|7559553	1	EGR1 / MYB
679	SIRT1	TBX3	TRRUST	20631301	1	SIRT1 / TBX3
680	POU2F3	CDK11B	TFacTs	|15656972	2	POU2F3 / CDK11B
681	SREBF1	PDX1	TRRUST	16091421	1	SREBF1 / PDX1
682	STAT3	PHB	TRRUST	17324931	1	STAT3 / PHB
683	ESR1	TIMMDC1	HTRI	20034404	1	ESR1 / TIMMDC1
684	SP1	EGFR	HTRI|PAZAR|TRRUST	16087726|10830317|8393457|18202149|10830317|18575762|19538880|21464950	7	SP1 / EGFR
685	CEBPB	NFKB1	ORTI		1	CEBPB / NFKB1
686	JUND	GADD45A	HTRI|TRRUST	17084916|17084916	1	JUND / GADD45A
687	SRF	MMP9	TRRUST	19724058	1	SRF / MMP9
688	SP1	MMP28	TRRUST	11574168	1	SP1 / MMP28
689	GATA3	SNAPC1	HTRI	19559773	1	GATA3 / SNAPC1
690	HSF1	FKBP4	TRRUST	20692357	1	HSF1 / FKBP4
691	RELA	BTS1	TRRUST	9030974	1	RELA / BTS1
692	ELK3	FOS	HTRI|Fastforward	15548518|10606656|11015205|11151091|12242287|2786995|8604338|8668149	8	ELK3 / FOS
693	NR3C1	MT-CO1	TRRUST	19570036	1	NR3C1 / MT-CO1
694	SP1	SLC19A1	HTRI|TRRUST	15652157|15652157	1	SP1 / SLC19A1
695	ETS2	JAK3	HTRI	12794134	1	ETS2 / JAK3
696	ETS1	PF4	TRRUST	12609849|23848403	2	ETS1 / PF4
697	HCFC1	E2F1	TRRUST	17612494|19763085	2	HCFC1 / E2F1
698	ETS1	FGFBP1	TRRUST	9668098	1	ETS1 / FGFBP1
699	BRCA1	VEGFA	TRRUST	16543242	1	BRCA1 / VEGFA
700	YY1	RNF40	ORegAnno	22951020	1	YY1 / RNF40
701	MYC	BAX	HTRI	12695333	1	MYC / BAX
702	CREB1	MUC5AC	HTRI|TRRUST	18676374|18676374	1	CREB1 / MUC5AC
703	SMAD3	TNC	TFacTs|TRRUST	15001984|15001984	1	SMAD3 / TNC
704	WT1	ETS1	HTRI|Fastforward|TRRUST	18212735|18212735|18212735|20842112	2	WT1 / ETS1
705	NHLH2	HES1	TRRUST	21573214	1	NHLH2 / HES1
706	STAT3	MMP1	TRRUST	16205632|17460772|21410405	3	STAT3 / MMP1
707	NFYA	JUN	Fastforward	17903252	1	NFYA / JUN
708	RELA	THBD	TRRUST	17211835|22406829	2	RELA / THBD
709	SRF	ACTA2	HTRI	18337547	1	SRF / ACTA2
710	HDAC2	GRM2	TRRUST	22864611	1	HDAC2 / GRM2
711	EP300	CYP1B1	TRRUST	20631054	1	EP300 / CYP1B1
712	EGR1	NFKB1	TRRUST	10671503	1	EGR1 / NFKB1
713	HES1	HTR1A	TRRUST	18499474	1	HES1 / HTR1A
714	EGR1	PDGFC	TRRUST	15247255	1	EGR1 / PDGFC
715	STAT3	BCL6	TRRUST	20228272|23716595	2	STAT3 / BCL6
716	SATB1	SPARC	TRRUST	17343824	1	SATB1 / SPARC
717	CTNNB1	CASP4	TFacTs	15979100	1	CTNNB1 / CASP4
718	CTCF	MB	ORegAnno	22951020	1	CTCF / MB
719	RXRA	IL2RG	TRRUST	12149223	1	RXRA / IL2RG
720	MYC	SLC25A28	HTRI	12747840	1	MYC / SLC25A28
721	YY1	DEK	TRRUST	12483538	1	YY1 / DEK
722	SOX10	COL11A2	TRRUST	12783851	1	SOX10 / COL11A2
723	CC2D1A	HTR1A	PAZAR	17714190	1	CC2D1A / HTR1A
724	MBD2	NANOG	TRRUST	23255147	1	MBD2 / NANOG
725	MYCN	MCM6	HTRI|TRRUST	17826980|17826980	1	MYCN / MCM6
726	NFYA	PTTG1	Fastforward	12403781|14644503	2	NFYA / PTTG1
727	RELA	MUC2	TRRUST	12686724|18176092	2	RELA / MUC2
728	RELA	IL17C	HTRI|TRRUST	21628458|21628458	1	RELA / IL17C
729	E2F1	MCM5	TFacTs|TRRUST	11799067|17210690	2	E2F1 / MCM5
