TF	Target	Sources	PMIDs	N
NR5A1	CYP19A1	HTRI|TRRUST	7768959|12213901|21087664|22427816	4
XRCC6	CD40	TRRUST	17031478	1
HDAC2	DEC1	TRRUST	21317427	1
TP53	ARL17A	HTRI	16980608	1
HSF2	HSPA4	HTRI|TRRUST	1508207|12813038|8114740|1508207	3
MYC	IL11RA	HTRI	12695333	1
MYC	VHL	HTRI	12695333	1
HIF1A	CDH1	TRRUST	22295844	1
CREB1	BDKRB1	TRRUST	10842322	1
MYCN	APEX1	HTRI	16093321	1
E2F4	CDC25C	HTRI	11799066	1
SMAD2	GLI1	TRRUST	24739390	1
SEC14L2	PSMB9	TRRUST	7699330	1
SP1	PTHLH	HTRI|TRRUST	8063775|8063775	1
AR	PYCR1	ORTI	17553165	1
EHF	EHF	Fastforward	11259407	1
SP1	SLC9A2	HTRI|TRRUST	17561809|11254504|17561809	2
WDR5	MYC	TRRUST	24782528	1
RXRA	NOL7	HTRI|TRRUST	20206243|20206243	1
PRDM1	CIITA	Fastforward|TRRUST	12150891|12052884|11101876|16765445|16982896|17300840	6
NFKB1	BCL2A1	HTRI|TRRUST	15592513|11880364|12665576|19343319|10733571|17000776	6
GATA2	APEX1	ORegAnno	22951020	1
ATF6	NR0B2	TRRUST	18450959	1
NFYB	XBP1	Fastforward	10958673	1
SP1	RB1	ORegAnno	15618023	1
RELA	MMP13	TRRUST	12734180|19022820	2
YBX1	TYMS	TRRUST	17072343	1
PBX1	SOX3	PAZAR|TRRUST	19799567|19799567	1
PARP1	HTR1A	TRRUST	21990073	1
RELA	PIGR	HTRI|TRRUST	10803841|10803841	1
EGR2	PTGS2	TRRUST	24007274	1
VDR	CYP3A5	TRRUST	22939842	1
HNF1A	INS	ORegAnno|TFacTs	15933209||10491332|1142872	4
TRERF1	CD80	TRRUST	18652845	1
GABPA	ERBB2	TRRUST	7914192	1
TP63	MXD3	HTRI|PAZAR	17521434|17521434	1
TAL1	CHST11	HTRI	20028976	1
RAB40B	CEBPE	PAZAR	10330422	1
SP1	CDKN1A	HTRI|TRRUST	7499379|10649433|17026958|12434298|15033443|14527674|10878024|12434298|12665570|14527674|15033443|15041706|15961274|17026958|12773551|18210215|10506225|10649433|14529564|17885207|18270969|21325288|21858218	18
RELA	MGMT	TRRUST	22675172	1
ETS1	FOXD1	Fastforward|TRRUST	8702877|9867825	2
EPAS1	EPO	PAZAR	9000051	1
E2F1	CYP27B1	HTRI	12629508	1
SIRT1	CDKN1A	TRRUST	15130752|21719763|23474493	3
DBP	ALDOB	TRRUST	8383844	1
NR2F6	APOB	TRRUST	1639815	1
TCF7L2	APCDD1	TFacTs	pmid: 12384519	1
SP1	MYB	HTRI|Fastforward	7559553|10567569	2
TCF19	CCNE1	TRRUST	15051733	1
KLF8	CDH2	TRRUST	20728449	1
NR2F1	SERPINC1	TRRUST	8910619	1
VDR	CALB1	TRRUST	1317496	1
STAT3	PAX3	TRRUST	19074888	1
CLOCK	DEC1	TRRUST	14672706	1
MYC	TSPO	TFacTs	|11983916	2
GATA3	LRMDA	HTRI	19559773	1
CTCF	SIX5	TRRUST	11479593	1
MYC	NIT1	HTRI	12695333	1
IRF1	IL12B	TRRUST	10657616	1
ARNT	BHLHE41	Fastforward	12354771	1
NR1I2	ARID3C	HTRI	19129222	1
VDR	NCOR1	TRRUST	23098689	1
GATA1	FLI1	TRRUST	10523830	1
RUNX3	ICAM3	TRRUST	22479382	1
SMAD3	CTGF	PAZAR	11152469	1
PPARA	TUBA1B	ORegAnno|TRRUST	23029400|23029400	1
HIF1A	CXCR4	TRRUST	17075581|19212630	2
ETS1	SPRY2	TRRUST	14644509	1
E2F1	SAFB	HTRI	12629508	1
FOXM1	VEGFA	TRRUST	21860419	1
TCF3	NEUROD1	Fastforward	16855267	1
YY1	TP53	Fastforward|TRRUST	8816507|10634504|8816507|10787423|10505791	4
EP300	CCND1	TRRUST	20101207	1
NR3C1	CDK4	TRRUST	9154817	1
FOS	NR3C1	Fastforward	8702520	1
ESR1	CRHBP	TRRUST	15345745	1
CTCF	NANOG	TRRUST	22879976	1
RELA	GATA3	TRRUST	20660789	1
RELA	SLC9A2	TRRUST	11254504	1
CREBBP	LDLR	TFacTs	|9651391	2
SP1	SNAPC1	TRRUST	9644240	1
MYC	SFXN3	HTRI	12747840	1
PHOX2B	DBH	TRRUST	11034547|16280598|15888479	3
E2F1	MCM8	TRRUST	16325355	1
TFAP2A	SOD2	TRRUST	23500038	1
RELA	PPARA	TRRUST	10542237	1
ETS2	MMP3	TRRUST	10358095	1
BRCA1	IGF1R	TRRUST	11001824|19223505	2
MYCN	HLA-E	TRRUST	8895520	1
FOXM1	SFTPB	TRRUST	12161428	1
GLI2	ATP9A	TFacTs	|14691458	2
KLF10	SERPINE1	TRRUST	12173049	1
JUN	IL12B	TRRUST	14688340	1
TP63	RGS20	HTRI	17521434	1
YY1	SLIRP	ORegAnno	22951020	1
HES1	NEUROG3	Fastforward	11334435	1
PGR	IRS2	TRRUST	14534541	1
EGR1	UBE2S	TRRUST	18780286	1
MYBL2	PSG1	TRRUST	14613485	1
EZH2	MST1	TRRUST	24499724	1
STAT3	PPARA	TRRUST	24242046	1
NKX2-1	RET	TRRUST	19853745	1
NFYB	FOS	TRRUST	23595228	1
RUNX2	GADD45B	TFacTs	|16144844	2
MYCN	HMGA1	TRRUST	16166307	1
TP53	SMAD3	TRRUST	21900401	1
NFYA	HBB	TRRUST	15833715	1
NR1I2	GADD45B	HTRI	19129222	1
CREB1	IL2	TRRUST	8814256	1
NFYB	ATP1A3	PAZAR	15462673	1
FOXO3	ID1	PAZAR	17132628	1
SP4	ATP1A3	PAZAR	15462673	1
RELA	ADORA3	TRRUST	17216675	1
ESR1	JAK2	TRRUST	19876927	1
EGR1	MYB	HTRI|TRRUST	7559553|7559553	1
SIRT1	TBX3	TRRUST	20631301	1
POU2F3	CDK11B	TFacTs	|15656972	2
SREBF1	PDX1	TRRUST	16091421	1
STAT3	PHB	TRRUST	17324931	1
ESR1	TIMMDC1	HTRI	20034404	1
SP1	EGFR	HTRI|PAZAR|TRRUST	16087726|10830317|8393457|18202149|10830317|18575762|19538880|21464950	7
CEBPB	NFKB1	ORTI		1
JUND	GADD45A	HTRI|TRRUST	17084916|17084916	1
SRF	MMP9	TRRUST	19724058	1
SP1	MMP28	TRRUST	11574168	1
GATA3	SNAPC1	HTRI	19559773	1
HSF1	FKBP4	TRRUST	20692357	1
RELA	BTS1	TRRUST	9030974	1
ELK3	FOS	HTRI|Fastforward	15548518|10606656|11015205|11151091|12242287|2786995|8604338|8668149	8
NR3C1	MT-CO1	TRRUST	19570036	1
SP1	SLC19A1	HTRI|TRRUST	15652157|15652157	1
ETS2	JAK3	HTRI	12794134	1
ETS1	PF4	TRRUST	12609849|23848403	2
HCFC1	E2F1	TRRUST	17612494|19763085	2
ETS1	FGFBP1	TRRUST	9668098	1
BRCA1	VEGFA	TRRUST	16543242	1
YY1	RNF40	ORegAnno	22951020	1
MYC	BAX	HTRI	12695333	1
CREB1	MUC5AC	HTRI|TRRUST	18676374|18676374	1
SMAD3	TNC	TFacTs|TRRUST	15001984|15001984	1
WT1	ETS1	HTRI|Fastforward|TRRUST	18212735|18212735|18212735|20842112	2
NHLH2	HES1	TRRUST	21573214	1
STAT3	MMP1	TRRUST	16205632|17460772|21410405	3
NFYA	JUN	Fastforward	17903252	1
RELA	THBD	TRRUST	17211835|22406829	2
SRF	ACTA2	HTRI	18337547	1
HDAC2	GRM2	TRRUST	22864611	1
EP300	CYP1B1	TRRUST	20631054	1
EGR1	NFKB1	TRRUST	10671503	1
HES1	HTR1A	TRRUST	18499474	1
EGR1	PDGFC	TRRUST	15247255	1
STAT3	BCL6	TRRUST	20228272|23716595	2
SATB1	SPARC	TRRUST	17343824	1
CTNNB1	CASP4	TFacTs	15979100	1
CTCF	MB	ORegAnno	22951020	1
RXRA	IL2RG	TRRUST	12149223	1
MYC	SLC25A28	HTRI	12747840	1
YY1	DEK	TRRUST	12483538	1
SOX10	COL11A2	TRRUST	12783851	1
CC2D1A	HTR1A	PAZAR	17714190	1
MBD2	NANOG	TRRUST	23255147	1
MYCN	MCM6	HTRI|TRRUST	17826980|17826980	1
NFYA	PTTG1	Fastforward	12403781|14644503	2
RELA	MUC2	TRRUST	12686724|18176092	2
RELA	IL17C	HTRI|TRRUST	21628458|21628458	1
E2F1	MCM5	TFacTs|TRRUST	11799067|17210690	2
SP3	PADI1	HTRI|TRRUST	17851584|17851584	1
JUND	CLU	HTRI|TRRUST	10406964|10406964	1
HSF4	HIF1A	TRRUST	21258402	1
MYC	QDPR	HTRI	12695333	1
PARP1	IFNG	TRRUST	17177976	1
RELA	COL1A1	TFacTs|TRRUST	11277268|11277268	1
DNMT3A	IGFBP3	TRRUST	19070387	1
USF2	ABCA1	TRRUST	11861672	1
E2F6	CYC1	TRRUST	10998368	1
BTG2	SPHK1	TRRUST	16516161	1
NRL	PDE6B	TRRUST	12566383	1
PIAS2	AR	TRRUST	11117529	1
NANOG	L1TD1	TFacTs|TRRUST	|21559406|22162396	3
XRCC6	NR3C1	Fastforward	8702520	1
USF2	CD40LG	TRRUST	12663664	1
SP1	TP73	Fastforward	20528922	1
FOS	MELTF	TRRUST	8836133	1
RELB	CCL21	TRRUST	20953353	1
NFYA	TBX2	Fastforward	18640248	1
MYC	NME1	HTRI	12695333	1
AR	TRPS1	TRRUST	15613454	1
NFKB1	CTCF	TRRUST	21912613	1
KLF9	PMAIP1	TRRUST	22144178	1
RXRA	CYP7A1	HTRI|TRRUST	19106115|19106115	1
TP53	BRCA1	TRRUST	9619832|21742769	2
SREBF1	LDLR	TFacTs|TRRUST	|9651391|22153697|12180145	4
SP1	DDB2	TRRUST	12527763	1
HIF1A	NR3C1	TRRUST	15699159	1
RFX5	HLA-DRA	TRRUST	11258423	1
SUPT3H	NEDD4L	TRRUST	8649367	1
BRCA1	BRCA2	TRRUST	11405179	1
STAT3	STS	TRRUST	21331591	1
HDAC1	DNMT1	TRRUST	23242655	1
RFX1	IL5RA	TRRUST	10330134|10706293	2
SP1	KLK3	HTRI|TRRUST	15708372|15708372	1
POU2F1	GATA1	TRRUST	7499351	1
ILF3	HLA-DRA	TRRUST	10079079|7651394	2
LEF1	DSG4	TRRUST	19683850	1
APEX1	CD19	TRRUST	10666449	1
GATA3	RELA	TRRUST	19686049	1
VDR	TPT1	TRRUST	19815065	1
NR2F1	APOA2	TRRUST	1639815	1
PBX1	VCP	TRRUST	17200190	1
EGR1	TNFSF10	TRRUST	17932312	1
HOXA10	TP53	TRRUST	21993662	1
MYC	EIF3B	TFacTs	|11983916	2
MYC	TFRC	HTRI|TRRUST	12695333|16466700	2
NPAS2	PER2	TRRUST	17660446	1
EWSR1	PHLDA1	TRRUST	22323082	1
RELA	IL2RA	TRRUST	11781710|9135552	2
GATA4	STAR	TRRUST	11111087	1
MTA2	CDH1	TRRUST	20714342	1
ETS1	EGR1	HTRI|TRRUST	19074849|19074849|9207063	2
RELA	CCR5	TRRUST	12745546|19469019|9840284	3
JUN	CTGF	TRRUST	20711235	1
RELA	TWIST1	TRRUST	22253230	1
TP63	ID2	TRRUST	21478550	1
SP1	COMP	TRRUST	11223338	1
ARID3A	CDK1	TRRUST	23659165	1
NFKB1	NOX5	TRRUST	22348975	1
RARG	HOXA1	TFacTs	20231276	1
LEF1	ROCK1	TFacTs	15979100	1
PHOX2B	MSX1	TRRUST	18201699	1
STAT6	SELE	TRRUST	9092569	1
PROX1	RGS4	TRRUST	22942256	1
PPARA	STAT5A	TRRUST	21542777	1
E2F1	MAPK8	TRRUST	20800677	1
EGR3	SPRY1	TRRUST	21826097	1
MYC	GSK3B	HTRI	12695333	1
KCNIP3	GCM1	TRRUST	23300953	1
RELA	EPCAM	TRRUST	11505407	1
EZH2	APC	TRRUST	22907428	1
FOS	SMAD7	TRRUST	15579469	1
JUNB	MMP2	HTRI	19944019	1
GLI2	MAZ	TFacTs	|14691458	2
PTMA	TLR9	TRRUST	21176371|21575365	2
RUNX3	CD36	TRRUST	16887969	1
POU2F1	HCRTR2	HTRI	20156195	1
HDAC7	MMP10	TRRUST	16873063|20693714	2
TP53	GSTP1	HTRI|TRRUST	18505928|18505928	1
TOB1	IL2	TRRUST	11694881	1
YY1	ZNF615	ORegAnno	22951020	1
NFKBIA	S100A6	TRRUST	12859951	1
SP1	POU5F1	Fastforward	8152920	1
STAT6	CCL11	TRRUST	17541284|20169197|10586089|14660485	4
AR	AKT1	TRRUST	11278645|20589722	2
ESR1	HOXA1	HTRI	20034404	1
ILF3	HLA-DQA1	TRRUST	7651394	1
FOXA2	CDH1	TRRUST	20160041	1
CEBPA	APOA1	ORegAnno	1900840	1
CEBPB	XBP1	TRRUST	19717648	1
SOX2	MKI67	TRRUST	20739473	1
MYC	LMNA	HTRI	12695333	1
FUBP1	CDKN1A	TRRUST	24117486	1
E2F1	PEG10	TRRUST	18625225	1
BHLHE41	MLH1	TRRUST	24165159	1
OTX2	POU1F1	TRRUST	18628516	1
TCF4	BCL2	TRRUST	23671559	1
JUN	PLAUR	HTRI|PAZAR|TRRUST	16893520|11234878|17510314|8798512|16893520|10471035|11234878|8761947	6
SIX3	SHH	PAZAR	18836447	1
CEBPB	S100A9	HTRI|ORTI|TRRUST	9706399||9706399	2
NFKB1	GKN2	TRRUST	17595528	1
RELA	NAMPT	TRRUST	16701870	1
ZFP64	CDKN2A	HTRI	19340300	1
MTF1	ACO1	TRRUST	16886906	1
TP63	JUN	Fastforward	17903252|20607803	2
MED15	NCF2	TRRUST	20025940	1
SP1	MDM2	TRRUST	15550242|17214373|17634539|18026875|23584477	5
MYC	TSFM	HTRI	12747840	1
NR1H4	DCN	TRRUST	18514055	1
VHL	TP53	TRRUST	22071692	1
HIF1A	HSPA4	HTRI	18844219	1
ARNT	HIF1A	TRRUST	14764593	1
NFKB1	RIPK2	TRRUST	19693652	1
FOXM1	G6PC	ORegAnno	15933209	1
NR1H3	NR1H3	Fastforward	11604492|11546778	2
RUNX1	MPO	TRRUST	11023523	1
RUNX1	TIMP1	TRRUST	15051730	1
DNMT3A	SETDB1	TRRUST	16682412	1
ATF5	CREB1	TRRUST	17140605	1
USF1	TERT	TRRUST	12970752|12941894|12044867	3
SRF	EGR1	HTRI|Fastforward	15449318|10050673|10806199	3
SOX6	CDKN1A	TRRUST	21084391	1
SMAD7	CDKN1A	TRRUST	15555279	1
HOXD13	LHX9	Fastforward	18407260	1
MYC	POLD2	HTRI	12695333	1
PIAS3	ESR1	TRRUST	22174013	1
MYC	ATP1A2	HTRI	12695333	1
WT1	IGF1	TRRUST	9076342	1
MYC	CCNE1	TFacTs|TRRUST	|14519204|11983916|20607601	4
E2F5	ASF1B	TFacTs	|17328667	2
TP53	XPO1	TRRUST	22284678	1
HSF1	POLK	TRRUST	22227292	1
KLF4	CDKN1B	TRRUST	22170594	1
AR	ATAD2	TRRUST	22771493	1
FOXO3	FASLG	TRRUST	11756562	1
SP1	SMARCA1	TRRUST	18243132	1
HDAC3	LGALS9	TRRUST	22027828	1
NR1I2	LMF1	HTRI	19129222	1
CREB1	PPM1D	TRRUST	19015127	1
MITF	BIRC7	HTRI|TFacTs|TRRUST	18451137||1999537|19067971|18451137	4
TWIST2	F2R	TRRUST	19051271	1
HOXA10	KLF9	TRRUST	20463357	1
SP3	PADI4	HTRI	17456793	1
BCL6	CHEK1	TRRUST	18346918	1
CTNNB1	VCAN	TFacTs	pmid: 15579438|pmid: 12095419|pmid: 15668231	3
CTNNB1	CHGA	TRRUST	21551321	1
CEBPE	LTF	TRRUST	12522000	1
RXRB	LRP1	HTRI	12551936	1
TP53	BID	Fastforward	12402042	1
HNF1A	SLC22A10	HTRI|TRRUST	20829431|20829431	1
RELA	CASP9	TRRUST	20056115	1
HIF1A	TERT	TRRUST	15048086|18754863	2
TBP	FN1	HTRI	8803927	1
SP1	CTGF	TRRUST	12888575	1
MYCN	PKIG	HTRI	16093321	1
PIAS1	STAT1	TRRUST	17940994|19136629	2
E2F1	ATAD2	TRRUST	22771493	1
E2F2	MT1G	HTRI	15735762	1
STAT3	TRH	PAZAR|TRRUST	11134186|11134186	1
E2F1	EGR1	TFacTs	|19276347	2
ESR1	UGT1A4	TRRUST	19546240	1
JUN	BEX2	TRRUST	21384344	1
HOXB4	MYB	Fastforward	20599537	1
RARG	RARB	Fastforward|TRRUST	1310259|1310350|1332041|1651173|1657595|1658797|1662118|1850832|2153268|2164682|2171781|2176152|7902566|8039499|8114692|8392478|8392479|9295294|9685410|1310259	19
E2F2	MCM10	TFacTs	|15195143	2
SP1	LOXL4	TRRUST	18949373	1
GATA1	PTGFR	TRRUST	14746914	1
SP1	PADI1	HTRI|TRRUST	17851584|17851584	1
NR3C1	ATF2	TRRUST	17016446	1
NR1H2	APOE	TFacTs	|19258656	2
MYCN	NES	HTRI|TRRUST	15117961|15117961	1
RELA	BHMT	TRRUST	16953798	1
RELA	GTF2B	TRRUST	7706261	1
ELK1	EGR1	HTRI	15449318	1
E2F4	BRCA1	HTRI|TFacTs|TRRUST	17106239||17106239|20818429|17106239|20133863|21701264|23108140|17001309	7
SP1	STARD3	TRRUST	12802284	1
GATA3	SPEF2	HTRI	19559773	1
NFKB1	CD40	TRRUST	19164127|9733827|11027342|11313274|17031478	5
CREB1	BCL2	HTRI|TRRUST	10542244|8816467|17290286|10542244|19626458	4
NR1H4	INS	TRRUST	20060466	1
SP1	INPP5J	TRRUST	23443536	1
SIRT1	EGLN1	TRRUST	22245592	1
MYC	CLCN6	HTRI	12695333	1
BRCA2	DMC1	TRRUST	17541404	1
E2F6	DDX11	HTRI	12909625	1
SIRT2	AFP	TRRUST	14522900	1
E2F1	RB1	Fastforward|ORegAnno|TRRUST	8119988|8264596|8119953|15618023|8264596	4
RELB	CCL19	TRRUST	20953353	1
CTCF	TNFRSF18	ORegAnno	22951020	1
SP1	PADI3	HTRI|TRRUST	16671893|16671893	1
NR2F1	OTX2	Fastforward	20147377	1
YY1	HACD2	ORegAnno	22951020	1
AES	RND3	TRRUST	23546594	1
DBP	CYP3A4	TRRUST	18004209	1
MYC	GOLPH3	HTRI	12747840	1
NFKB1	S100A6	TRRUST	12859951	1
RELA	ALOX5	TRRUST	15517885	1
EHMT2	BIRC5	TRRUST	17124180	1
DDIT3	NOS3	TRRUST	22265908	1
NR1H4	PLTP	TRRUST	10998425	1
NFKB1	LTC4S	TRRUST	12574384	1
MYC	BAG2	TRRUST	22146591	1
ZBTB2	CDKN1A	TRRUST	19380588	1
FOXA1	SFTPB	PAZAR|TRRUST	8065304|18003659	2
RELA	PTGS1	TRRUST	19570036	1
KLF6	CERS2	TRRUST	22169644	1
CTNNB1	TCF7	TRRUST	17724465	1
ARX	LMO1	TRRUST	23771350	1
ETS2	CDKN2A	HTRI|TRRUST	19340300|17370299	2
PPARG	SCARB1	HTRI	19156545	1
NFYC	ABCB1	TRRUST	18234965	1
KLF6	PSG5	TRRUST	21799854|23418492|9083102	3
GATA2	GATA2	Fastforward	14715908|9032291	2
YY1	CBX5	TRRUST	19566924	1
RFX1	MYC	Fastforward|TRRUST	10918054|10918054|12032779	2
ETS1	CDKN1A	TRRUST	18955504	1
GLI2	IRF9	TFacTs	|14691458	2
SRF	UBE2S	TRRUST	18780286	1
UHRF1	TOP2A	TRRUST	10646863	1
ASCL1	IGF2	TRRUST	20842449	1
SP1	UGT8	HTRI|PAZAR	15229398|15229398	1
JUN	CYP11A1	TRRUST	11057754	1
IRF1	CD40	TRRUST	18694960	1
CEBPB	PLAC1	TRRUST	19652226	1
NOTCH3	HES1	TRRUST	22117196	1
PTTG1	CDC42	TRRUST	22081074	1
GATA1	AHSP	HTRI	21232177	1
PITX2	PLOD1	TRRUST	21837767	1
IRF9	CCND2	TRRUST	15362048	1
NFKB1	CASP3	TRRUST	20056115	1
BDP1	RB1	TRRUST	12734418	1
NFKB1	RGS4	TRRUST	18260825	1
E2F4	HIST2H4A	HTRI	11799066	1
ELF1	NFKB1	Fastforward	9190210	1
ERG	NOS3	HTRI	11013235	1
ETV1	AR	TRRUST	17505060	1
HOXC13	DSG4	TRRUST	19683850	1
REST	NRP1	TRRUST	16330548	1
CREBBP	PSMC5	TRRUST	22771340	1
ATF3	CD82	TRRUST	21454613	1
NR1I2	VAMP4	HTRI	19129222	1
FOXO1	PRDX4	TFacTs	|18301748	2
NR1I2	RASSF3	HTRI	19129222	1
SP1	HNF4A	Fastforward|TRRUST	10768098|11585914|23307400	3
SP1	IGF1R	TRRUST	15345673	1
IRF1	TRIM22	TRRUST	21683060|23670564|23729439	3
E2F4	TK1	TFacTs	pazar_pleiades|11799067	2
RFXANK	HLA-DRA	TRRUST	11258423	1
NR3C2	LCN2	TRRUST	22469622	1
NR1I2	PINX1	HTRI	19129222	1
MYC	MTHFR	HTRI	12695333	1
PIAS3	MUC1	TRRUST	17717071	1
YBX1	SUMO1	TRRUST	20596676	1
LEF1	CDKN2A	HTRI	19340300	1
CEBPD	TNFAIP6	TRRUST	23028973	1
CREB1	STMN1	TRRUST	23000483	1
SOX2	RHO	TRRUST	20739473	1
JUND	CCL5	HTRI|TRRUST	10760799|10760799	1
E2F1	TERT	TFacTs|TRRUST	|11433024|12368233|21411498|22207128	5
JUN	IL3	TRRUST	7642615	1
RARA	NR1I3	HTRI|TRRUST	20211151|20211151	1
TFDP1	RRM1	TRRUST	14618416	1
FOXP3	SATB1	TRRUST	21743493	1
SPDEF	MUC2	TRRUST	19786015	1
BHLHE40	BHLHE40	Fastforward	12354771	1
SP3	CENPW	HTRI	20180024	1
TAL1	EPOR	TRRUST	22982397	1
YY1	NDUFS8	HTRI	11955626	1
ETS1	CSF2	TRRUST	12475968	1
EP300	IL5	TRRUST	16922677	1
ELF2	TEK	TRRUST	10347098	1
FUBP3	FGF9	TRRUST	21252297	1
YY1	MUC4	TRRUST	23813057	1
E2F4	MCM5	TFacTs	11799067	1
FOXA1	CCNG2	TRRUST	22596188	1
STAT3	PGF	TRRUST	23042533	1
ATF7	TAF12	TRRUST	15735663	1
SRF	ACTC1	ORegAnno	15933209	1
MIR141	POT1	ORegAnno	23874542	1
HOXA1	STAT4	Fastforward	18276758	1
LEF1	CHGA	TRRUST	21551321	1
SOX9	NR5A1	TRRUST	11875113|24591553	2
LEF1	PRL	TRRUST	17240357	1
STAT1	CFB	PAZAR	11745388	1
SPI1	CSF1	TRRUST	9632776	1
YY1	LRIG2	TRRUST	22721266	1
SREBF2	PTGS2	TFacTs	|15716578	2
MYC	PRKDC	HTRI	12695333	1
STAT3	MYD88	TRRUST	12244150	1
NFKB1	HBEGF	TRRUST	22641673	1
MYC	HSPE1	HTRI|TFacTs	12695333||14519204|11983916	4
NFKB1	PTEN	TRRUST	17334236|19940030	2
ETV4	BTS1	TRRUST	9030974	1
VHL	AR	TRRUST	23961993	1
EGR1	PTP4A1	TRRUST	9988683	1
REL	IL12B	TRRUST	10657616	1
SREBF1	FAS	TRRUST	18420801|12531699|20173757|9300785	4
KLF1	HBB	TRRUST	21539536	1
NFATC3	CTSD	TRRUST	16219765	1
SP3	PLAT	HTRI|TRRUST	21437359|21437359	1
PPARA	ACSL1	TRRUST	17150915	1
CREB1	IFNG	HTRI|TRRUST	18641343|11907114|15879136|20006311|20685939|11907114|7759501	6
USF1	SERPINE1	TRRUST	16902162|12235287	2
MYC	GALT	HTRI	12695333	1
TWIST2	FOS	TRRUST	19051271	1
NKX3-1	IGF1R	TRRUST	22179513	1
NR1H3	AKR1C4	HTRI	18024509	1
IRF2	CEACAM1	HTRI	21050451	1
POU5F1	CDX2	TRRUST	17068183	1
EP300	NFKB1	TRRUST	9560267	1
YY1	NOS2	HTRI|TRRUST	19402223|20430007	2
ZNF382	JUN	TRRUST	20682794	1
TWIST1	ILK	TRRUST	19051271	1
PBX2	FMO3	TRRUST	17786630	1
HLX	BTG1	TRRUST	22897850	1
SMAD3	GCLC	TFacTs	|15629866	2
HES1	COL2A1	HTRI	18759300	1
ETV5	ICAM1	TRRUST	9572487	1
KLF6	NOS2	HTRI|TRRUST	12590140|12590140|23831683	2
HDAC1	FOS	TRRUST	17056544	1
PBX2	MEIS1	TRRUST	24617557	1
STAT1	NOS2	PAZAR|TRRUST	8995425|12586443|16318585	3
HIF1A	APEX1	TRRUST	19524065	1
MYC	CCNA2	TFacTs|TRRUST	|14519204|7608142	3
JUN	SPRR3	TRRUST	9889002	1
KLF16	CDKN1A	TRRUST	16172401	1
NR2F1	MTTP	TRRUST	22357705	1
GTF2A1	TBP	TRRUST	12818428	1
USF2	SF1	HTRI|TRRUST	18165439|18165439	1
JUN	PGR	HTRI|TRRUST	12446585|14684847	2
RELA	IL23A	TRRUST	17569750|17707233	2
STAT1	LAP3	ORegAnno	22951020	1
E2F1	DTL	TFacTs	|18213392	2
SALL4	ZEB1	TRRUST	23954296	1
MYC	KAT2B	TFacTs	|11983916	2
BRCA1	KHSRP	TRRUST	21099359	1
YY1	HINT2	ORegAnno	22951020	1
TP53	FAS	ORegAnno|TRRUST	12788915|10101800|11313989|16317104	4
HOXA10	IL11	TRRUST	20478621	1
MYC	MPO	HTRI	12695333	1
PML	EP300	TRRUST	18809579	1
FOXA1	RPRM	TRRUST	19917725	1
APEX1	CYP11B2	TRRUST	22652909	1
ATF4	MAP1LC3B	TRRUST	20038797|20514020	2
ING4	BAX	TRRUST	20707719	1
TCF7L2	NTSR1	TFacTs	pmid: 16299383	1
TP63	SYN3	HTRI	17521434	1
NR4A1	SERPINE1	TRRUST	12506026	1
PITX1	RUNX2	TRRUST	21425961	1
IRF7	IFNB1	TRRUST	17236232|22698399|22547704|23906644	4
YY1	U2AF1	ORegAnno	22951020	1
STAT2	CCL2	TRRUST	17167270	1
ESR1	ITPA	HTRI	20034404	1
SOX9	CDK4	TRRUST	20651055	1
PLAGL2	IGF2	TRRUST	11888928	1
NR1I2	IMPDH2	HTRI	19129222	1
LYL1	ANGPT2	TRRUST	22792348	1
SP1	HAS2	TRRUST	21795679	1
HOXC8	TNFRSF11B	TRRUST	11139569	1
SOX6	TP53	TRRUST	21084391	1
E2F2	MYC	Fastforward	2524830|2141565|2721961	3
GCM1	ERVW-1	TRRUST	19692500|24478419	2
TP63	DEC1	TRRUST	21317427	1
STAT3	LGALS3BP	TRRUST	18594176	1
HSF1	HSD17B6	TRRUST	16278218	1
CEBPD	KLF5	ORTI		1
HBP1	JUNB	TFacTs	|16179914	2
MYB	KLF1	HTRI|TRRUST	20686118|20686118	1
TEAD4	JUN	Fastforward	12861002	1
E2F6	IL13	TRRUST	22981205	1
KLF4	IFITM3	TRRUST	21531817	1
HDAC2	ALOX5	TRRUST	21883892	1
REST	TAC1	PAZAR|TRRUST	17709376|12220737|19246391	3
RB1	PCNA	TRRUST	9671466	1
SP1	DBH	PAZAR	9763470	1
GATA2	ICAM4	ORegAnno	22951020	1
TP63	IREB2	HTRI	17521434	1
CEBPA	ELANE	TRRUST	19620402|16247445	2
TP63	PJA2	HTRI	17521434	1
STAT5A	RAD51	TFacTs	|16398215	2
JUN	TP53	HTRI|Fastforward|TRRUST	17321721|10348347|22859294|10348347	3
TCF7	SNAI2	TRRUST	20128911	1
CTNNB1	APP	TFacTs	15979100	1
JUN	NAMPT	TRRUST	16701870	1
E2F1	MEFV	TRRUST	20805247	1
NR2F1	APOC3	HTRI|TRRUST	7640286|1639815	2
MYC	METTL1	HTRI	12747840	1
YY1	IFNG	TRRUST	8756632|12836278	2
GORASP1	TAC1	PAZAR	17277111	1
IRF1	POLH	TRRUST	22367195	1
SP1	PTEN	TRRUST	22030357	1
STAT1	PML	TRRUST	21115099|22589541|15519999	3
RUNX1	ITGAX	TFacTs	|12935984	2
SCRT1	SLC6A2	PAZAR	1714605	1
